Hour;Posts
18;35696
17;36832
16;39090
14;39839
12;30843
10;28510
9;25844
8;21698
15;40256
6;16602
13;34883
4;15355
3;14763
11;29618
2;14535
23;21584
1;15624
5;15728
22;25608
0;17659
20;33250
7;19007
21;29923
19;33574
